,Patch,Mention,Commit
2008-02,27.0,0.0,13.0
2008-04,4.0,0.0,14.0
2008-06,21.0,0.0,7.0
2008-07,25.0,0.0,19.0
2008-08,19.0,0.0,9.0
2008-09,18.0,0.0,13.0
2008-11,30.0,0.0,17.0
2008-12,107.0,0.0,52.0
2009-03,1.0,0.0,1.0
2009-06,2.0,0.0,2.0
2009-12,74.0,0.0,44.0
2010-01,65.0,2.0,39.0
2010-02,13.0,0.0,10.0
2010-03,61.0,8.0,29.0
2010-04,8.0,2.0,10.0
2010-05,73.0,3.0,101.0
2010-07,11.0,2.0,13.0
2010-08,95.0,2.0,83.0
2010-09,6.0,3.0,19.0
2010-10,16.0,0.0,29.0
2010-11,2.0,3.0,3.0
2010-12,3.0,0.0,2.0
2011-01,6.0,1.0,11.0
2011-02,13.0,0.0,9.0
2011-03,23.0,11.0,48.0
2011-07,20.0,2.0,10.0
2011-10,10.0,1.0,2.0
2011-12,24.0,5.0,20.0
2012-02,13.0,3.0,3.0
2012-03,8.0,2.0,2.0
2012-04,4.0,2.0,9.0
2012-06,8.0,0.0,9.0
2012-08,143.0,2.0,106.0
2012-10,94.0,2.0,65.0
2012-12,13.0,2.0,7.0
2013-02,7.0,1.0,6.0
2013-05,34.0,0.0,22.0
2013-06,14.0,2.0,6.0
2013-07,17.0,3.0,11.0
2013-09,44.0,4.0,33.0
2013-10,13.0,1.0,33.0
2013-11,25.0,4.0,22.0
2013-12,37.0,2.0,35.0
2014-01,18.0,0.0,16.0
2014-02,8.0,4.0,11.0
2014-03,25.0,10.0,50.0
2014-04,32.0,8.0,10.0
2014-05,107.0,6.0,67.0
2014-06,27.0,14.0,24.0
2014-07,23.0,2.0,38.0
2014-08,69.0,5.0,103.0
2014-09,16.0,4.0,45.0
2014-10,26.0,7.0,63.0
2014-11,71.0,8.0,116.0
2014-12,91.0,3.0,66.0
2015-01,29.0,4.0,35.0
2015-02,19.0,8.0,130.0
2015-03,52.0,6.0,193.0
2015-04,58.0,2.0,86.0
2015-05,102.0,12.0,89.0
2015-06,55.0,3.0,180.0
2015-07,142.0,9.0,91.0
2015-08,85.0,2.0,109.0
2015-09,161.0,10.0,128.0
2015-10,88.0,15.0,74.0
2015-11,56.0,15.0,94.0
2015-12,239.0,10.0,88.0
2016-01,108.0,20.0,42.0
2016-02,108.0,18.0,150.0
2016-03,80.0,14.0,94.0
2016-04,90.0,8.0,37.0
2016-05,22.0,4.0,22.0
